"管理用番号","市町村コード","基準地番号・標準地番号(最新年)","地価調査・地価公示の別","用途","所在(市町村名)","所在(大字以降)","所在(住居表示)","経度(世界測地系)","緯度(世界測地系)","平成5年(1993)","平成6年(1994)","平成7年(1995)","平成8年(1996)","平成9年(1997)","平成10年(1998)","平成11年(1999)","平成12年(2000)","平成13年(2001)","平成14年(2002)","平成15年(2003)","平成16年(2004)","平成17年(2005)","平成18年(2006)","平成19年(2007)","平成20年(2008)","平成21年(2009)","平成22年(2010)","平成23年(2011)","平成24年(2012)","平成25年(2013)","平成26年(2014)","平成27年(2015)","平成28年(2016)","平成29年(2017)","経度","緯度","分類"
"100024","302015","【旧】和歌山-24(平成23年廃止)","地価公示(廃止地点)","住宅","和歌山市","西庄字南西岡９９３番５","","135.1053286","34.25905591","","","","","105,000 ","103,000 ","91,600 ","84,000 ","80,500 ","75,600 ","71,000 ","65,700 ","58,000 ","54,000 ","52,000 ","51,000 ","49,700 ","47,900 ","","","","","","","","135.105328599638","34.2590559100133","地価公示標準地(廃止地点)"
"100030","302015","【旧】和歌山-30(平成23年廃止)","地価公示(廃止地点)","住宅","和歌山市","島橋東ノ丁１８２番６３","島橋東ノ丁５－５","135.1486222","34.24441067","138,000 ","136,000 ","137,000 ","135,000 ","132,000 ","130,000 ","118,000 ","108,000 ","101,000 ","94,000 ","86,700 ","80,000 ","72,800 ","69,000 ","67,000 ","66,400 ","64,900 ","62,900 ","","","","","","","","135.148622200357","34.2444106700217","地価公示標準地(廃止地点)"
"100031","302015","【旧】和歌山-31(平成23年廃止)","地価公示(廃止地点)","住宅","和歌山市","西浜字中新堤内ノ坪９４２番６","","135.1572268","34.20015703","174,000 ","170,000 ","170,000 ","166,000 ","163,000 ","160,000 ","151,000 ","142,000 ","136,000 ","129,000 ","121,000 ","112,000 ","104,000 ","97,500 ","94,000 ","90,900 ","87,100 ","83,300 ","","","","","","","","135.157226800323","34.200157030022","地価公示標準地(廃止地点)"
"100033","302015","【旧】和歌山-33(平成23年廃止)","地価公示(廃止地点)","住宅","和歌山市","今福２丁目２４番２９","今福２－１－２０","135.1656922","34.21164891","194,000 ","190,000 ","190,000 ","183,000 ","175,000 ","170,000 ","154,000 ","145,000 ","139,000 ","133,000 ","124,000 ","116,000 ","108,000 ","102,000 ","101,000 ","99,900 ","97,900 ","94,700 ","","","","","","","","135.165692200288","34.2116489100416","地価公示標準地(廃止地点)"
"100036","302015","【旧】和歌山-36(平成23年廃止)","地価公示(廃止地点)","住宅","和歌山市","紀三井寺字向谷川３５３番１５","","135.1899507","34.17748136","146,000 ","144,000 ","144,000 ","142,000 ","141,000 ","140,000 ","132,000 ","127,000 ","125,000 ","122,000 ","117,000 ","110,000 ","102,000 ","96,500 ","93,600 ","91,400 ","86,800 ","82,400 ","","","","","","","","135.189950699793","34.1774813600452","地価公示標準地(廃止地点)"
"100047","302015","【旧】和歌山-47(平成23年廃止)","地価公示(廃止地点)","住宅","和歌山市","船所字久保古８１番３４","","135.1839446","34.25640749","","","135,000 ","133,000 ","132,000 ","129,000 ","115,000 ","104,000 ","96,200 ","89,000 ","81,800 ","75,200 ","69,000 ","65,600 ","63,500 ","63,000 ","61,200 ","58,300 ","","","","","","","","135.183944599513","34.2564074900366","地価公示標準地(廃止地点)"
"100075","302015","【旧】和歌山5-22(平成23年廃止)","地価公示(廃止地点)","商業","和歌山市","西高松１丁目３５７番５","西高松１－３－１３","135.17179","34.20955135","","400,000 ","368,000 ","320,000 ","288,000 ","258,000 ","228,000 ","209,000 ","198,000 ","186,000 ","172,000 ","158,000 ","145,000 ","137,000 ","131,000 ","130,000 ","128,000 ","125,000 ","","","","","","","","135.17178999982","34.2095513499736","地価公示標準地(廃止地点)"
"100013","302015","【旧】和歌山-13*(平成24年廃止)","地価公示(廃止地点)","住宅","和歌山市","西庄字清田２５０番６","","135.1196232","34.25950968","","","","","136,000 ","133,000 ","116,000 ","105,000 ","96,200 ","88,500 ","82,000 ","75,400 ","68,500 ","64,400 ","62,500 ","61,000 ","59,200 ","57,100 ","54,800 ","","","","","","","135.119623200016","34.2595096799939","地価公示標準地(廃止地点)"
"100130","302074","【旧】新宮5-1(平成24年廃止)","地価公示(廃止地点)","商業","新宮市","仲之町３丁目１番４","","135.9894363","33.72831093","","","345,000 ","341,000 ","335,000 ","326,000 ","308,000 ","265,000 ","232,000 ","210,000 ","194,000 ","175,000 ","157,000 ","140,000 ","119,000 ","112,000 ","105,000 ","96,000 ","88,000 ","","","","","","","135.98943629967","33.7283109300168","地価公示標準地(廃止地点)"
"100159","303615","【旧】湯浅5-1(平成24年廃止)","地価公示(廃止地点)","商業","湯浅町","大字湯浅字南道１０５５番７","","135.1792073","34.0334299","","","198,000 ","187,000 ","179,000 ","174,000 ","164,000 ","156,000 ","150,000 ","136,000 ","120,000 ","109,000 ","98,200 ","90,000 ","85,000 ","81,200 ","76,800 ","71,400 ","62,400 ","","","","","","","135.179207299808","34.0334298999834","地価公示標準地(廃止地点)"
